Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker,Daily_Return,Log_Return
2020-01-02 00:00:00-05:00,71.47660718407792,72.5285891982157,71.22326675908423,72.46826934814453,135480400,0.0,0.0,AAPL,,
2020-01-03 00:00:00-05:00,71.69615210347494,72.5237384458872,71.5393220101689,71.76371002197266,146322800,0.0,0.0,AAPL,-0.009722314780101993,-0.009769885062392084
2020-01-06 00:00:00-05:00,70.88546446996966,72.37415398165305,70.6345318765685,72.3355484008789,118387200,0.0,0.0,AAPL,0.007968350280819658,0.007936770625299804
2020-01-07 00:00:00-05:00,72.34518902923438,72.60094451443848,71.77577337938688,71.9953384399414,108872000,0.0,0.0,AAPL,-0.004703219488322419,-0.004714314426722678
2020-01-08 00:00:00-05:00,71.69858142215591,73.45509501348069,71.69858142215591,73.15349578857422,132079200,0.0,0.0,AAPL,0.016086560237492886,0.01595854261137124
2020-01-09 00:00:00-05:00,74.13069030790666,74.90037228480348,73.87976500025633,74.70735168457031,170108400,0.0,0.0,AAPL,0.021241034064687803,0.021018587779913948
2020-01-10 00:00:00-05:00,74.94138611501243,75.4408362602049,74.37437802964394,74.87623596191406,140644800,0.0,0.0,AAPL,0.002260611218783515,0.002258059881573141
2020-01-13 00:00:00-05:00,75.1923057311866,76.50245093143005,75.07407383392189,76.47590637207031,121532000,0.0,0.0,AAPL,0.02136419372055398,0.0211391785375798
2020-01-14 00:00:00-05:00,76.41318515734736,76.62309704687446,75.3201898237738,75.4432373046875,161954400,0.0,0.0,AAPL,-0.013503194880210678,-0.01359519212603991
2020-01-15 00:00:00-05:00,75.2429736592525,76.12364189473249,74.6880266854858,75.11991882324219,121923600,0.0,0.0,AAPL,-0.00428558599811335,-0.0042947954431177045
2020-01-16 00:00:00-05:00,75.66277320442461,76.17187634556086,75.30085426207306,76.06088256835938,108829200,0.0,0.0,AAPL,0.012526154978032888,0.012448351741984316
2020-01-17 00:00:00-05:00,76.30941686178534,76.90537714681764,76.00299474011516,76.90296936035156,137816400,0.0,0.0,AAPL,0.011071220363967793,0.011010383021034473
2020-01-21 00:00:00-05:00,76.53138979411735,76.97292771965752,76.24426680790016,76.38179779052734,110843200,0.0,0.0,AAPL,-0.0067770019045964025,-0.006800070063046071
2020-01-22 00:00:00-05:00,76.86676909750412,77.20697385138125,76.56034698568028,76.65444946289062,101832400,0.0,0.0,AAPL,0.00356958961755538,0.0035632337532639346
2020-01-23 00:00:00-05:00,76.70755279875391,77.10324719984139,76.15984382890906,77.02362823486328,104472000,0.0,0.0,AAPL,0.004816142762219977,0.004804582249859882
2020-01-24 00:00:00-05:00,77.26971063356069,78.01284778014684,76.61101536754971,76.80162811279297,146537600,0.0,0.0,AAPL,-0.0028822340255562073,-0.0028863956605060964
2020-01-27 00:00:00-05:00,74.81106755625872,75.2236531438023,73.56124240931901,74.54325103759766,161940000,0.0,0.0,AAPL,-0.029405328125057473,-0.029846331542941643
2020-01-28 00:00:00-05:00,75.42393505290065,76.82335250031947,75.32500962430629,76.65204620361328,162234000,0.0,0.0,AAPL,0.02828955185965798,0.02789679260589901
2020-01-29 00:00:00-05:00,78.28307531479543,79.10342349865832,77.54234606364214,78.25653076171875,216229200,0.0,0.0,AAPL,0.020932051231136395,0.020715985774105616
2020-01-30 00:00:00-05:00,77.33970834921887,78.19624735599628,76.90781612011679,78.1431655883789,126743200,0.0,0.0,AAPL,-0.0014486353054038448,-0.001449685591971888
2020-01-31 00:00:00-05:00,77.43378925544725,77.85602816826189,74.38402173692818,74.67838287353516,199588400,0.0,0.0,AAPL,-0.04433890908764282,-0.04535193619719624
