date,value,capital,shares,stock_value,returns
2020-01-16 00:00:00-05:00,10000.0,10000.0,0,0.0,
2020-01-17 00:00:00-05:00,10000.0,10000.0,0,0.0,0.0
2020-01-21 00:00:00-05:00,10000.0,10000.0,0,0.0,0.0
2020-01-22 00:00:00-05:00,10000.0,10000.0,0,0.0,0.0
2020-01-23 00:00:00-05:00,10000.0,10000.0,0,0.0,0.0
2020-01-24 00:00:00-05:00,10000.0,10000.0,0,0.0,0.0
2020-01-27 00:00:00-05:00,9992.241899147033,7234.1410461807245,37,2758.1008529663086,-0.000775810085296702
2020-01-28 00:00:00-05:00,10064.193627067565,8301.19656438446,23,1762.9970626831055,0.007200759213672914
2020-01-29 00:00:00-05:00,10101.096947380065,8301.19656438446,23,1799.9003829956055,0.0036667935534595575
2020-01-30 00:00:00-05:00,10098.489021965026,8301.19656438446,23,1797.2924575805664,-0.00025818239629071815
2020-01-31 00:00:00-05:00,10018.79901952362,8301.19656438446,23,1717.6024551391602,-0.007891279801173656
2020-02-03 00:00:00-05:00,10006.550130805968,5761.572629890441,57,4244.977500915527,-0.001222590521456901
2020-02-04 00:00:00-05:00,10139.385147514342,8062.222816886901,27,2077.1623306274414,0.013274806498938085
2020-02-05 00:00:00-05:00,10156.322975578307,8062.222816886901,27,2094.1001586914062,0.0016704985378839243
2020-02-06 00:00:00-05:00,10175.503196983336,8370.774765281676,23,1804.7284317016602,0.0018885005381523712
2020-02-07 00:00:00-05:00,10141.560724754332,3949.568537254332,80,6191.9921875,-0.0033357045417731213
2020-02-10 00:00:00-05:00,10165.034863456724,4876.845257743834,68,5288.189605712891,0.002314647551741711
2020-02-11 00:00:00-05:00,10126.275132499693,3014.830674491881,92,7111.4444580078125,-0.0038130445667600155
2020-02-12 00:00:00-05:00,10287.941064414976,5223.366357383727,64,5064.57470703125,0.015964995005559812
2020-02-13 00:00:00-05:00,10245.697566032408,4038.630824089049,79,6207.066741943359,-0.004106117843995394
2020-02-14 00:00:00-05:00,10247.225466728209,4038.630824089049,79,6208.59464263916,0.0001491260781369963
2020-02-18 00:00:00-05:00,10126.22970638275,1716.792221641539,109,8409.437484741211,-0.011807660594403857
2020-02-19 00:00:00-05:00,10242.079726737975,2650.070624870299,97,7592.009101867676,0.01144058783124402
2020-02-20 00:00:00-05:00,10158.652254615783,2102.272005592345,104,8056.3802490234375,-0.008145559724983986
2020-02-21 00:00:00-05:00,9976.29440549469,2102.272005592345,104,7874.022399902344,-0.017950988433355963
2020-02-24 00:00:00-05:00,9596.845111289977,1664.1466707382192,110,7932.698440551758,-0.038035093871700676
2020-02-25 00:00:00-05:00,9322.518181983947,1031.4651882095327,119,8291.052993774414,-0.028585115850552234
2020-02-26 00:00:00-05:00,9446.709684394835,3359.8030071487415,86,6086.906677246094,0.013321669101261868
2020-02-27 00:00:00-05:00,9043.157759498594,2692.6279743423447,96,6350.52978515625,-0.04271878128771911
2020-02-28 00:00:00-05:00,9039.442915748594,2692.6279743423447,96,6346.81494140625,-0.000410790550026352
2020-03-02 00:00:00-05:00,9621.290449806213,6730.578169532775,40,2890.7122802734375,0.06436763188624361
2020-03-03 00:00:00-05:00,9521.75457130432,3993.9165357208244,79,5527.838035583496,-0.010345377163403002
2020-03-04 00:00:00-05:00,9769.791773834228,7353.588885345458,33,2416.2028884887695,0.026049526972415027
2020-03-05 00:00:00-05:00,9684.858725112914,5788.478071731566,55,3896.3806533813477,-0.0086934348947727
2020-03-06 00:00:00-05:00,9633.114531082152,5788.478071731566,55,3844.636459350586,-0.005342792858360257
2020-03-09 00:00:00-04:00,9321.65242588806,3399.267538192748,92,5922.3848876953125,-0.03233244078943842
2020-03-10 00:00:00-04:00,9739.533712112425,7048.142141067504,39,2691.391571044922,0.04482909972740745
2020-03-11 00:00:00-04:00,9639.595509765624,5576.183957336425,61,4063.411552429199,-0.010261086957634724
2020-03-12 00:00:00-04:00,9231.032734451293,3287.5756803131094,99,5943.457054138184,-0.042383809040579146
2020-03-13 00:00:00-04:00,9934.276116775512,7110.716912673949,42,2823.5592041015625,0.07618252502773948
2020-03-16 00:00:00-04:00,9563.104942344664,4173.839180015562,92,5389.265762329102,-0.037362679481403815
2020-03-17 00:00:00-04:00,9791.830494277952,7406.797146194456,39,2385.0333480834965,0.023917498899390877
2020-03-18 00:00:00-04:00,9733.444752090452,7406.797146194456,39,2326.6476058959965,-0.005962699438232577
2020-03-19 00:00:00-04:00,9715.617855422972,7406.797146194456,39,2308.8207092285156,-0.0018315095140034598
2020-03-20 00:00:00-04:00,9562.489066513059,5847.864241989134,67,3714.624824523926,-0.015761096328468782
2020-03-23 00:00:00-04:00,9477.055583435056,4321.943335968015,95,5155.112247467042,-0.008934230667743459
2020-03-24 00:00:00-04:00,9985.959616046903,7597.622671466825,40,2388.336944580078,0.05369853834152449
2020-03-25 00:00:00-04:00,9972.803030353543,7597.622671466825,40,2375.1803588867188,-0.0013175084017180705
2020-03-26 00:00:00-04:00,10091.791976276396,8591.69035274124,24,1500.1016235351565,0.011931344232979813
2020-03-27 00:00:00-04:00,10022.827023311613,6727.423924251554,55,3295.403099060059,-0.006833766800475538
2020-03-30 00:00:00-04:00,10110.576526309966,8015.28216901016,34,2095.294357299805,0.008754965320089791
2020-03-31 00:00:00-04:00,10106.30097546768,8015.28216901016,34,2091.01880645752,-0.00042287903475723976
2020-04-01 00:00:00-04:00,9987.956282314299,4685.880911525724,91,5302.075370788575,-0.01170999096906522
2020-04-02 00:00:00-04:00,10069.120274677274,6988.80621828079,52,3080.3140563964844,0.008126186185525519
2020-04-03 00:00:00-04:00,10018.04236452484,5172.045710014341,83,4845.996654510498,-0.005072728178735719
2020-04-06 00:00:00-04:00,10433.190901168822,7767.077543624876,42,2666.1133575439453,0.04144008595073201
2020-04-07 00:00:00-04:00,10402.311422714232,7767.077543624876,42,2635.2338790893555,-0.0029597348258173506
2020-04-08 00:00:00-04:00,10463.472543777463,9047.781976760862,22,1415.6905670166016,0.0058795702779750325
2020-04-09 00:00:00-04:00,10468.428940567013,9301.778397354123,18,1166.6505432128906,0.000473685649655442
2020-04-13 00:00:00-04:00,10485.931227828976,9692.898329879758,12,793.0328979492188,0.0016719115505612336
2020-04-14 00:00:00-04:00,10520.634585830685,10034.669284317013,7,485.9653015136719,0.003309516078992436
2020-04-15 00:00:00-04:00,10506.934046005244,5760.426614974972,69,4746.507431030273,-0.0013022541286523692
2020-04-16 00:00:00-04:00,10539.164113647457,6240.29720080566,62,4298.866912841797,0.0030675045166450587
2020-04-17 00:00:00-04:00,10473.507893569942,3907.5164384918176,96,6565.991455078125,-0.0062297369477808395
2020-04-20 00:00:00-04:00,10330.746089859005,2427.569332046505,118,7903.1767578125,-0.013630753436351895
2020-04-21 00:00:00-04:00,10080.092494621273,1058.1841923141444,139,9021.908302307129,-0.02426287443883479
2020-04-22 00:00:00-04:00,10332.485378311154,3521.400981948849,102,6811.084396362305,0.02503874679965068
2020-04-23 00:00:00-04:00,10300.291473464962,2717.404113845822,114,7582.887359619141,-0.0031157948612993147
2020-04-24 00:00:00-04:00,10512.152948989864,4763.456781997677,84,5748.6961669921875,0.020568493238340535
2020-04-27 00:00:00-04:00,10510.599692275999,5374.207480361935,75,5136.3922119140625,-0.00014775819200907314
2020-04-28 00:00:00-04:00,10419.244095581053,2266.8515556030243,121,8152.392539978027,-0.008691758735905553
2020-04-29 00:00:00-04:00,10678.52907330322,5737.7758384399385,71,4940.753234863281,0.02488520043715403
2020-04-30 00:00:00-04:00,10776.48147790527,7010.507021118161,53,3765.9744567871094,0.009172836813914342
2020-05-01 00:00:00-04:00,10706.795935226437,2946.5475602874726,111,7760.248374938965,-0.006466446661807734
2020-05-04 00:00:00-04:00,10810.745114608762,3791.512784286496,99,7019.232330322266,0.00970871024452058
2020-05-05 00:00:00-04:00,10910.303386024472,4577.341410926816,88,6332.961975097656,0.009209196069304593
2020-05-06 00:00:00-04:00,10969.915661796567,5298.6940278854345,78,5671.221633911133,0.005463851339684522
2020-05-07 00:00:00-04:00,11022.9235269165,5954.17411437988,69,5068.749412536621,0.004832112365688923
2020-05-08 00:00:00-04:00,11137.214486282346,7301.57534901428,51,3835.6391372680664,0.010368479749202963
2020-05-11 00:00:00-04:00,11192.188025291442,7678.153647239683,46,3514.034378051758,0.004936022295054743
2020-05-12 00:00:00-04:00,11144.15744553375,4800.562322242735,84,6343.595123291016,-0.004291437889459515
2020-05-13 00:00:00-04:00,11059.806067527768,2032.3357153549173,121,9027.470352172852,-0.0075691121933840755
2020-05-14 00:00:00-04:00,11109.212868125913,3077.2020954208356,107,8032.010772705078,0.004467239325579575
2020-05-15 00:00:00-04:00,11055.458313964842,1802.3641672363262,124,9253.094146728516,-0.004838736533287702
2020-05-18 00:00:00-04:00,11267.403155441283,2865.613528366087,110,8401.789627075195,0.01917105880709813
2020-05-19 00:00:00-04:00,11213.24683415222,2252.497597091673,118,8960.749237060547,-0.0048064598862702645
2020-05-20 00:00:00-04:00,11381.509919258116,3252.8915644607528,105,8128.618354797363,0.015005741654898541
2020-05-21 00:00:00-04:00,11314.062812263488,1401.9296488113387,129,9912.133163452148,-0.005926024532167284
2020-05-22 00:00:00-04:00,11371.72175704193,2555.764084922789,114,8815.95767211914,0.005096219256971457
2020-05-26 00:00:00-04:00,11305.549629592893,1089.930557632445,133,10215.61907196045,-0.005819006907028856
2020-05-27 00:00:00-04:00,11350.056816482542,1089.930557632445,133,10260.126258850098,0.00393675569502161
2020-05-28 00:00:00-04:00,11354.572273635862,1089.930557632445,133,10264.641716003418,0.0003978356431453278
2020-05-29 00:00:00-04:00,11339.111725692748,621.8524330902087,139,10717.259292602539,-0.0013616142969129497
2020-06-01 00:00:00-04:00,11464.66221434021,1864.4161205902087,123,9600.24609375,0.011072338970166573
2020-06-02 00:00:00-04:00,11503.007804183959,2956.087882308959,109,8546.919921875,0.0033446768100839908
2020-06-03 00:00:00-04:00,11544.113833358762,3896.267123153685,97,7647.846710205078,0.003573502676391449
2020-06-04 00:00:00-04:00,11471.06139680481,1700.4648925933825,125,9770.596504211426,-0.006328111244265022
2020-06-05 00:00:00-04:00,11741.682077560423,4345.71369377136,92,7395.9683837890625,0.02359159901550112
